Name,Price,Discount,Amount,Colour,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Calendar,Alarm Clock,Chronograph,Language,Number of Buttons,Other Watch Functions
"Noise Twist Go 1.39'' Display, Bluetooth Calling, Metal...","₹1,599",68% off,"₹4,999",Jet Black,Yes,Yes,Yes,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A
Fastrack Revoltt XR1-1.38|BT Calling|Fast Charge|100+ S...,"₹1,499",62% off,"₹3,995",Black,,,,,,,,,,,,
"Nikki Trades Trendy latest Gen9 smartwatch, Golden & Pi...","₹1,259",82% off,"₹6,999","Golden, Pink",,,,,,,,,,,,
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...","₹1,199",85% off,"₹7,999",Peach,,,,,,,,,,,,
"RGV H9 BT Calling, Fitness tracking Multiple Watch Face...",₹766,74% off,"₹2,999",BLACK,,,,,,,,,,,,
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...","₹1,199",85% off,"₹7,999",Peach,,,,,,,,,,,,
"RGV H9 BT Calling, Fitness tracking Multiple Watch Face...",₹766,69% off,"₹2,499",BLACK,,,,,,,,,,,,
ULTRON Gen 9 Model Fitness Health Music Smartwatch: The...,₹918,84% off,"₹5,999","Golden, Pink",,,,,,N/A,,,,N/A,N/A,N/A
ULTRON Model Fitness Health Music Smartwatch: The Next ...,₹905,83% off,"₹5,499","Golden, Pink",,,,,,N/A,,,,N/A,N/A,
"GameSir Active-2 Round Dial Smartwatch 1.49"" AMOLED Dis...","₹1,375",65% off,"₹3,999",Grey,,,,,,,,,,,,
"Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metal...","₹2,099",70% off,"₹6,999",Jet Black,,,,N/A,N/A,,N/A,,N/A,N/A,N/A,N/A
Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Wo...,"₹2,099",58% off,"₹4,999",Beige,,,,,,,,,,,,
"Pebble Vienna Women 1.27""Ultra HD Display,Diamond Cut D...","₹2,299",67% off,"₹6,999",Gold,,,,N/A,N/A,,,,N/A,N/A,,N/A
"MVC ENTERPRISE H9 Smartwatch with Bluetooth, Fitness & ...",₹758,74% off,"₹2,999",Pink,,,,,,,,,,,,
"GameSir H9 BT-Calling, Music, Sport, Health & Fitness, ...",₹862,71% off,"₹2,999",Black-X,,,,,,,,,,,,
"GameSir Active 2 AMOLED HD Screen Wireless Call, AI Voi...","₹1,318",73% off,"₹4,999",Pink,,,,,,,,,,,,
Fastrack Revoltt XR1-1.38|BT Calling|Fast Charge|100+ S...,"₹1,499",62% off,"₹3,995",Green,,,,,,,,,,,,
Fire-Boltt Hunter 51.1mm (2.01) HD Display Bluetooth Ca...,"₹1,099",92% off,"₹14,999",Gold Black,,,,,,,,,,,,
GameSir Gen 9 Model Fitness Health Music Smartwatch: Th...,"₹1,467",70% off,"₹4,999",Rose gold,,,,,,,,,,,,
"GameSir H9 BT-Calling, Music, Sport, Health & Fitness, ...",₹862,71% off,"₹2,999",Pink-X,,,,,,,,,,,,
Fastrack Optimus2 Pro-1.43'' AMOLED|Advanced Blazing Fa...,"₹2,499",44% off,"₹4,499",Pink,,,,,,,,,,,,N/A
Fastrack RevoPro-1.97'' Super AMOLED Display|AOD|Workin...,"₹2,099",58% off,"₹4,999",Wine Red,,,,,N/A,,,,,,,
Pushkar Traders Gen 9 Model Fitness Health Music Smartw...,₹986,76% off,"₹4,190",Gold,,,,,,,,,,,,
Lifelong Luxury Smart Watch for Women |1.39 Inch HD Dis...,"₹1,999",75% off,"₹7,999",Rose Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"DOXWO H9 BT Calling Fitness,HeartRate tracker Smartwatc...",₹725,85% off,"₹4,999",Pink,Yes,Yes,Yes,Yes,Best Look Wrist watch & Running all fitness cover,Yes,Yes,Yes,Yes,20+ Languages,1,"Music Operate Camera Operate, Customize Watch Faces, Normal Battery Standby 7 Days, Games, Real time activity tracker also Health parameter Fitness Tracking: - Monitor daily activity, steps, and calories burned., - Heart Rate Monitoring: - Keep track of your heart health in real-time., - Sleep Tracking: - Analyze sleep patterns to improve sleep quality., - GPS Navigation: - Navigate routes and track outdoor activities., - Weather Forecast: - Stay informed with real-time weather updates., - Alarm and Reminder: - Set alarms and receive reminders throughout the day.,"
"Melbon Multiple Watch Faces,Sleep Monitor,Heart & SpO2 ...",₹859,71% off,"₹2,999",pink,,,,,,,,,,,,
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits ...","₹1,199",85% off,"₹8,499",Peach fuzz,,,,,,,,,,,N/A,
Fastrack XR1-1.38|BT Calling|Fast Charge|100+ Sports Mo...,"₹1,499",62% off,"₹3,995",Blue,,,,,,,,,,,,
PunnkFunnk Women Men Heart Rate Blood Pressure Fitness ...,"₹1,318",73% off,"₹4,999",Grey,,,,,,,,,,,,
PunnkFunnk Women Men Heart Rate Blood Pressure Fitness ...,"₹1,318",73% off,"₹4,999",Pink,,,,,,,,,,,,
Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Wo...,"₹2,099",58% off,"₹4,999",Beige,,,,,,,,,,,,
Fastrack Revoltt XR1-1.38|BT Calling|Fast Charge|100+ S...,"₹1,499",62% off,"₹3,995",Wine Red,,,,,,,,,,,,
GameSir Gen 9 Model : The Next Generation of women Fitn...,"₹1,505",69% off,"₹4,999",Rose gold,,,,,,,,,,,,
PunnkFunnk Women Men Heart Rate Blood Pressure Fitness ...,"₹1,334",73% off,"₹4,999",Black,,,,,,,,,,,,
TULUA Series New Edition Smartwatch For Women With Blue...,₹934,62% off,"₹2,499","Pink, gold",,,,N/A,N/A,,,,N/A,,,
Ezerio Gen 9 Diamond Edition Smartwatch Gen 9 Diamond S...,"₹1,220",75% off,"₹4,999",Rose,,,,,N/A,,,,,,,
GameSir Women Men Heart Rate Blood Pressure Fitness Tra...,"₹1,318",73% off,"₹4,999",Pink,,,,,,,,,,,,
GameSir Gen 9 Model Fitness Health Music Play Smartwatc...,"₹1,447",71% off,"₹4,999",Rose gold,,,,,,,,,,,,
"Ezerio Gen 9 Diamond Strap Smart Watch, Glorious Rose G...",₹986,67% off,"₹2,999",Pink,Yes,Yes,Yes,Yes,"Shake to Answer Calls: Answering calls is made easy with the shake-to-answer feature, allowing users to respond quickly and effortlessly.",YES,Yes,Yes,Yes,English,1,
FITRIC Gen 9 Model Fitness Health Music Smartwatch: The...,"₹1,140",71% off,"₹3,999",Rose gold,Yes,Yes,Yes,No,"Heart rate, Blood pressure, Blood oxygen, Time display, Step counting,Calories Distance, with game",Yes,Yes,Yes,No,English and multi,3,"Heart rate, Blood pressure, Blood oxygen, Time display, Step counting,Calories Distance,, BT call?Play music?Messages reminder?Pedometer?Distance?Calories?Sleep monitoring?Heart rate?Calendar?Raise-to-wake?Intelligent voice?Call records?SMS?Alarm?Remote camera?Dial?Phone book?Calculator?Clock?Ringtone settings,body temperature monitor Waterproof: IP67 Waterproof"
